GROUP,2016_Gold,2016_Silver,2016_Bronze,2016_TOTAL,2012_Gold,2012_Silver,2012_Bronze,2012_TOTAL,2008_Gold,2008_Silver,2008_Bronze,2008_TOTAL
USA,46,37,38,121,46,29,29,104,36,38,36,110
CHN,26,18,26,70,38,27,23,88,51,21,28,100
GBR,27,23,17,67,29,17,19,65,19,13,15,47
RUS,19,18,19,56,24,26,32,82,23,21,28,72
GER,17,10,15,42,11,19,14,44,16,10,15,41
FRA,10,18,14,42,11,11,12,34,7,16,17,40
JPN,12,8,21,41,7,14,17,38,9,6,10,25
AUS,8,11,10,29,7,16,12,35,14,15,17,46
ITA,8,12,8,28,8,9,11,28,8,10,10,28
CAN,4,3,15,22,1,5,12,18,3,9,6,18
KOR,9,3,9,21,13,8,7,28,13,10,8,31
NED,8,7,4,19,6,6,8,20,7,5,4,16
BRA,7,6,6,19,3,5,9,17,3,4,8,15
NZL,4,9,5,18,6,2,5,13,3,1,5,9
AZE,1,7,10,18,2,2,6,10,1,2,4,7
ESP,7,4,6,17,3,10,4,17,5,10,3,18
KAZ,3,5,9,17,7,1,5,13,2,4,7,13
HUN,8,3,4,15,8,4,6,18,3,5,2,10
DEN,2,6,7,15,2,4,3,9,2,2,3,7
KEN,6,6,1,13,2,4,5,11,5,5,4,14
UZB,4,2,7,13,1,0,2,3,1,2,3,6
JAM,6,3,2,11,4,4,4,12,6,3,2,11
CUB,5,2,4,11,5,3,6,14,2,11,11,24
SWE,2,6,3,11,1,4,3,8,0,4,1,5
UKR,2,5,4,11,6,5,9,20,7,5,15,27
POL,2,3,6,11,2,2,6,10,3,6,1,10
CRO,5,3,2,10,3,1,2,6,0,2,3,5
RSA,2,6,2,10,3,2,1,6,0,1,0,1
CZE,1,2,7,10,4,3,3,10,3,3,0,6
BLR,1,4,4,9,2,5,5,12,4,5,10,19
COL,3,2,3,8,1,3,4,8,0,1,1,2
IRI,3,1,4,8,4,5,3,12,1,0,1,2
SRB,2,4,2,8,1,1,2,4,0,1,2,3
TUR,1,3,4,8,2,2,1,5,1,4,3,8
ETH,1,2,5,8,3,1,3,7,4,1,2,7
SUI,3,2,2,7,2,2,0,4,2,0,4,6
PRK,2,3,2,7,4,0,2,6,2,1,3,6
GEO,2,1,4,7,1,3,3,7,3,0,3,6
GRE,3,1,2,6,0,0,2,2,0,2,2,4
THA,2,2,2,6,0,2,1,3,2,2,0,4
BEL,2,2,2,6,0,1,2,3,1,1,0,2
ROU,1,1,3,5,2,5,2,9,4,1,3,8
MAS,0,4,1,5,0,1,1,2,0,1,0,1
MEX,0,3,2,5,1,3,3,7,2,0,1,3
ARG,3,1,0,4,1,1,2,4,2,0,4,6
SVK,2,2,0,4,0,1,3,4,3,2,1,6
ARM,1,3,0,4,0,1,2,3,0,0,6,6
SLO,1,2,1,4,1,1,2,4,1,2,2,5
LTU,0,1,3,4,2,1,2,5,0,2,3,5
NOR,0,0,4,4,2,1,1,4,3,5,2,10
INA,1,2,0,3,0,1,1,2,1,1,3,5
TPE,1,0,2,3,0,1,1,2,0,0,4,4
VEN,0,1,2,3,1,0,0,1,0,0,1,1
BUL,0,1,2,3,0,1,1,2,1,1,3,5
TUN,0,0,3,3,1,1,1,3,1,0,0,1
EGY,0,0,3,3,0,2,0,2,0,0,1,1
BRN,1,1,0,2,0,0,1,1,0,0,0,0
VIE,1,1,0,2,0,0,0,0,0,1,0,1
IOC,1,0,1,2,0,0,0,0,0,0,0,0
CIV,1,0,1,2,0,0,0,0,0,0,0,0
BAH,1,0,1,2,1,0,0,1,0,1,1,2
ALG,0,2,0,2,1,0,0,1,0,1,1,2
IRL,0,2,0,2,1,1,3,5,0,1,2,3
MGL,0,1,1,2,0,2,3,5,2,2,0,4
IND,0,1,1,2,0,2,4,6,1,0,2,3
ISR,0,0,2,2,0,0,0,0,0,0,1,1
KOS,1,0,0,1,0,0,0,0,0,0,0,0
SIN,1,0,0,1,0,0,2,2,0,1,0,1
JOR,1,0,0,1,0,0,0,0,0,0,0,0
TJK,1,0,0,1,0,0,1,1,0,1,1,2
PUR,1,0,0,1,0,1,1,2,0,0,0,0
FIJ,1,0,0,1,0,0,0,0,0,0,0,0
QAT,0,1,0,1,0,0,2,2,0,0,0,0
PHI,0,1,0,1,0,0,0,0,0,0,0,0
NIG,0,1,0,1,0,0,0,0,0,0,0,0
GRN,0,1,0,1,1,0,0,1,0,0,0,0
BDI,0,1,0,1,0,0,0,0,0,0,0,0
UAE,0,0,1,1,0,0,0,0,0,0,0,0
POR,0,0,1,1,0,1,0,1,1,1,0,2
NGR,0,0,1,1,0,0,0,0,0,1,3,4
MAR,0,0,1,1,0,0,1,1,0,1,1,2
DOM,0,0,1,1,1,1,0,2,1,1,0,2
TRI,0,0,1,1,1,0,3,4,0,2,0,2
MDA,0,0,1,1,0,0,2,2,0,0,1,1
FIN,0,0,1,1,0,1,2,3,1,1,2,4
EST,0,0,1,1,0,1,1,2,1,1,0,2
AUT,0,0,1,1,0,0,0,0,0,1,2,3
